Name,Full Ticker,Ticker,Trading Country ISO Code,Operating Country ISO Code,Industry,Beta (5 Year),Total Debt,Total Equity,Revenue,Enterprise Value (EV)
Scienjoy Holding Corporation,NASDAQCM:SJ,SJ,USA,CHN,Entertainment,0.9011,1.7783,112.8602,252.0733,122.1963
"Gaia, Inc.",NASDAQGM:GAIA,GAIA,USA,USA,Entertainment,0.6,14.273,77.871,77.37,174.6728
Leaf Mobile Inc.,OTCPK:LEML.F,LEML.F,USA,CAN,Entertainment,,0.1403,19.2853,66.1066,151.2912
"LiveOne, Inc.",NASDAQCM:LVO,LVO,USA,USA,Entertainment,1.5314,29.628,2.62,100.855,174.8995
Eros STX Global Corporation,NYSE:ESGC,ESGC,USA,USA,Entertainment,,,,,660.3076
"Hollywall Entertainment, Inc.",OTCPK:HWAL,HWAL,USA,USA,Entertainment,,,,,
Olympique Lyonnais Groupe SA,OTCPK:OQLG.F,OQLG.F,USA,FRA,Entertainment,0.6503,493.7654,144.4758,140.1376,542.8719
"Reading International, Inc.",NASDAQCM:RDI,RDI,USA,USA,Entertainment,1.7304,494.76,103.573,104.163,541.9517
"Reading International, Inc.",NASDAQCM:RDIB,RDIB,USA,USA,Entertainment,1.7304,494.76,103.573,104.163,541.9517
Atari SA,OTCPK:PONG.F,PONG.F,USA,FRA,Entertainment,0.887,2.2274,28.3705,22.1571,122.8007
Crank Media Inc,OTCPK:CRKM,CRKM,USA,CAN,Entertainment,19.621,0.1769,-0.2329,0.0026,132.9435
Playmaker Capital Inc.,OTCPK:PMKR.F,PMKR.F,USA,CAN,Entertainment,,0.3137,50.9991,7.8152,119.7422
Kuke Music Holding Limited,NYSE:KUKE,KUKE,USA,CHN,Entertainment,,13.5598,144.6973,37.4887,116.3962
Celtic plc,OTCPK:CLTF.F,CLTF.F,USA,GBR,Entertainment,0.587,11.4036,95.3495,84.0759,142.0636
Lizhi Inc.,NASDAQGM:LIZI,LIZI,USA,CHN,Entertainment,,8.8713,41.3111,284.3461,53.3603
Gaming Realms plc,OTCPK:PSDM.F,PSDM.F,USA,GBR,Entertainment,1.7559,0.6988,16.9838,19.3233,120.763
Motorsport Games Inc.,NASDAQCM:MSGM,MSGM,USA,USA,Entertainment,,0.0556,45.0495,9.7855,89.6859
Play Magnus AS,OTCPK:PMGM.F,PMGM.F,USA,NOR,Entertainment,,3.841,52.829,14.6085,84.1541
Starbreeze AB (publ),OTCPK:STBE.F,STBE.F,USA,SWE,Entertainment,1.2164,48.0215,15.7597,14.5362,126.0771
S.S. Lazio S.p.A.,OTCPK:SSLZ.F,SSLZ.F,USA,ITA,Entertainment,2.0429,46.4913,3.2414,197.2509,105.1312
"Gaming Technologies, Inc.",OTCPK:GMGT,GMGT,USA,USA,Entertainment,,0.0609,-0.2828,0.09,84.7381
OverActive Media Corp.,OTCPK:OAMC.F,OAMC.F,USA,CAN,Entertainment,,25.5399,70.2747,7.9618,80.9422
"eWorld Companies, Inc.",OTCPK:EWRC,EWRC,USA,USA,Entertainment,,,,,
ESE Entertainment Inc.,OTCPK:ENTE.F,ENTE.F,USA,CAN,Entertainment,,0.0763,10.0675,4.2821,74.1704
"Dolphin Entertainment, Inc.",NASDAQCM:DLPN,DLPN,USA,USA,Entertainment,1.8675,16.474,23.5322,31.9178,77.3579
Kidoz Inc.,OTCPK:KDOZ.F,KDOZ.F,USA,AIA,Entertainment,-0.6426,0.1291,8.362,10.0573,71.0915
CI Games S.A.,OTCPK:CIGM.F,CIGM.F,USA,POL,Entertainment,0.8497,1.2439,31.0873,23.4077,61.8152
Mondo TV S.p.A.,OTCPK:MXSP.F,MXSP.F,USA,ITA,Entertainment,1.6023,17.2203,92.833,42.3176,69.3487
BBTV Holdings Inc.,OTCPK:BBTV.F,BBTV.F,USA,CAN,Entertainment,,41.4209,199.2809,353.4196,85.594
Gfinity plc,OTCPK:GFIZ.F,GFIZ.F,USA,GBR,Entertainment,,0,4.8744,7.8754,50.5086
"Ballantyne Strong, Inc",NYSEAM:BTN,BTN,USA,USA,Entertainment,1.2613,7.172,52.093,22.947,13.0366
"Engine Gaming and Media, Inc.",NASDAQCM:GAME,GAME,USA,CAN,Entertainment,0.946,11.4577,25.5655,37.2209,45.8573
"Pop Culture Group Co., Ltd",NASDAQGM:CPOP,CPOP,USA,CHN,Entertainment,,7.2415,19.3281,25.5266,57.1481
Next Games Oyj,OTCPK:NXXT.F,NXXT.F,USA,FIN,Entertainment,2.2806,3.9137,25.6167,29.7676,47.6227
"SportsQuest, Inc.",OTCPK:SPQS,SPQS,USA,USA,Entertainment,3.1018,,,0.1875,49.6493
Universal Media Group Inc.,OTCPK:UMGP,UMGP,USA,USA,Entertainment,,,,,
Stargaze Entertainment Group Inc.,OTCPK:STGZ,STGZ,USA,USA,Entertainment,,,,,
Star Vault AB (publ),OTCPK:SRVT.F,SRVT.F,USA,SWE,Entertainment,1.0249,0,2.157,0.6769,44.1308
Boyaa Interactive International Limited,OTCPK:BOYA.F,BOYA.F,USA,CHN,Entertainment,,0.2875,313.7388,55.2238,-160.1152
Versus Systems Inc.,NASDAQCM:VS,VS,USA,CAN,Entertainment,1.1486,3.1794,15.5759,0.8297,32.9831
Axion Ventures Inc.,OTCPK:AXNV.F,AXNV.F,USA,CAN,Entertainment,,,,,
"Sycamore Entertainment Group, Inc.",OTCPK:SEGI,SEGI,USA,USA,Entertainment,66.1029,,,,43.4575
